month,average_price,index
2007-01-31,14984.4776726403,CSI300
2007-02-28,28021.7206764033,CSI300
2007-04-30,20303.3020332171,CSI300
2007-05-31,28408.7528332175,CSI300
2007-07-31,39811.9873287723,CSI300
2007-08-31,37804.80156617,CSI300
2007-10-31,57817.5699521266,CSI300
2007-11-30,43531.2795383573,CSI300
2007-12-31,31.8088408408376,CSI300
2008-01-31,26345.9661076459,CSI300
2008-02-29,31378.164510533,CSI300
2008-03-31,32644.5103063293,CSI300
2008-04-30,32158.7738845951,CSI300
2008-06-30,28776.5827108507,CSI300
2008-07-31,26949.4237313616,CSI300
2008-09-30,32290.2264339797,CSI300
2008-10-31,13369.36025419,CSI300
2008-12-31,11.0047912087906,CSI300
2009-03-31,14361.419690825,CSI300
2009-04-30,18870.7954591338,CSI300
2009-06-30,32063.8645250141,CSI300
2009-07-31,32735.361444518,CSI300
2009-08-31,30607.6390556254,CSI300
2009-09-30,29405.6578739315,CSI300
2009-11-30,23449.2820012962,CSI300
2009-12-31,21.674775593779,CSI300
2010-03-31,27357.6122868134,CSI300
2010-04-30,26828.7878615399,CSI300
2010-05-31,23420.5031463476,CSI300
2010-06-30,24352.7836510609,CSI300
2010-08-31,25735.27819253,CSI300
2010-09-30,30772.2606216293,CSI300
2010-11-30,29473.842459721,CSI300
2010-12-31,23.1320148553587,CSI300
2011-01-31,49415.9715922765,CSI300
2011-02-28,43887.0340217564,CSI300
2011-03-31,29437.9057296592,CSI300
2011-05-31,28641.7696598544,CSI300
2011-06-30,31072.8382787069,CSI300
2011-08-31,25072.1269160478,CSI300
2011-09-30,21780.4375337829,CSI300
2011-10-31,22537.8313939948,CSI300
2011-11-30,20793.3940454314,CSI300
2012-01-31,22009.3310565032,CSI300
2012-02-29,23191.3617842429,CSI300
2012-04-30,32786.3012615992,CSI300
2012-05-31,17395.091756194,CSI300
2012-07-31,17351.7161118412,CSI300
2012-08-31,17580.5193595919,CSI300
2012-10-31,18750.4164816997,CSI300
2012-11-30,18413.7455917522,CSI300
2012-12-31,10.1737669654291,CSI300
2013-01-31,18670.3312113741,CSI300
2013-02-28,27884.8104581478,CSI300
2013-04-30,27768.096452058,CSI300
2013-05-31,16507.8378193272,CSI300
2013-07-31,17667.6817085139,CSI300
2013-09-30,17961.2785039213,CSI300
2013-10-31,16539.8857382111,CSI300
2013-12-31,22.6462834821413,CSI300
2014-02-28,23870.661989243,CSI300
2014-03-31,15056.5302997008,CSI300
2014-04-30,15126.1145057559,CSI300
2014-06-30,14325.8112819267,CSI300
2014-07-31,14865.8946529863,CSI300
2014-09-30,15593.8881480377,CSI300
2014-10-31,14741.804717168,CSI300
2014-12-31,25.766252821676,CSI300
2015-03-31,15759.0138286724,CSI300
2015-04-30,16635.1370966137,CSI300
2015-06-30,19072.0988961438,CSI300
2015-07-31,18289.2107881575,CSI300
2015-08-31,18136.0283384537,CSI300
2015-09-30,18031.9035253813,CSI300
2015-11-30,17527.4567348219,CSI300
2015-12-31,25.2823042505566,CSI300
2016-02-29,24997.6514041583,CSI300
2016-03-31,16587.8678338395,CSI300
2016-05-31,16224.2231363629,CSI300
2016-06-30,15653.2441561416,CSI300
2016-08-31,14751.484134559,CSI300
2016-09-30,14975.0694991045,CSI300
2016-10-31,14067.6801017744,CSI300
2016-11-30,14066.627440383,CSI300
2017-01-31,71765.8905775076,CSI300
2017-02-28,21432.3913010659,CSI300
2017-03-31,14150.2017353863,CSI300
2017-05-31,16026.6679071797,CSI300
2017-06-30,15841.2917852136,CSI300
2017-07-31,15926.6584850821,CSI300
2017-08-31,15671.2411543848,CSI300
2017-09-30,48.3008992805763,CSI300
2017-10-31,15810.2919848398,CSI300
2017-11-30,16028.8522272718,CSI300
2018-01-31,17158.4290579344,CSI300
2018-02-28,23718.2179529892,CSI300
2018-03-31,47.2249466192091,CSI300
2018-04-30,27330.023450242,CSI300
2018-05-31,15983.1192011611,CSI300
2018-07-31,15318.3318247118,CSI300
2018-08-31,15366.2710815633,CSI300
2018-10-31,13460.100015527,CSI300
2018-11-30,14035.8763925317,CSI300
2018-12-31,23.1285714285722,CSI300
2004-03-31,7343.53988003927,TWSE
2004-04-30,7251.51337927754,TWSE
2004-05-31,8263.95995983487,TWSE
2004-06-30,8957.57033916889,TWSE
2004-08-31,8774.42085698784,TWSE
2004-09-30,10794.4528012464,TWSE
2004-11-30,10995.6282876217,TWSE
2004-12-31,22.445623703693,TWSE
2005-01-31,12172.6073230802,TWSE
2005-02-28,39302.9979551122,TWSE
2005-03-31,16316.9873799747,TWSE
2005-05-31,16936.7410154264,TWSE
2005-06-30,18045.209750507,TWSE
2005-08-31,15761.8106265277,TWSE
2005-09-30,18768.643610234,TWSE
2005-10-31,17612.9454542607,TWSE
2005-11-30,17580.2577027632,TWSE
2006-01-31,56959.2426229508,TWSE
2006-02-28,22474.4586216561,TWSE
2006-03-31,13186.5114859914,TWSE
2006-05-31,4.2817029702964,TWSE
2006-06-30,12027.5052035149,TWSE
2006-07-31,11642.8142618195,TWSE
2006-08-31,12918.8404271791,TWSE
2006-10-31,14191.710400712,TWSE
2006-11-30,14490.4556805614,TWSE
2007-01-31,14984.477672634,TWSE
2007-02-28,28021.7206764045,TWSE
2007-04-30,20303.3020331874,TWSE
2007-05-31,28408.7528332335,TWSE
2007-07-31,39811.9873287571,TWSE
2007-08-31,37804.8015661889,TWSE
2007-10-31,57817.5699521586,TWSE
2007-11-30,43531.2795383616,TWSE
2007-12-31,31.8088408408598,TWSE
2008-01-31,26345.9661076661,TWSE
2008-02-29,31378.1645105658,TWSE
2008-03-31,32644.5103063461,TWSE
2008-04-30,32158.7738845866,TWSE
2008-06-30,28776.5827108237,TWSE
2008-07-31,26949.4237313671,TWSE
2008-09-30,32290.2264340417,TWSE
2008-10-31,13369.3602541815,TWSE
2008-12-31,11.0047912088047,TWSE
2009-03-31,14361.4196908136,TWSE
2009-04-30,18870.7954591476,TWSE
2009-06-30,32063.864525018,TWSE
2009-07-31,32735.3614444719,TWSE
2009-08-31,30607.6390556604,TWSE
2009-09-30,29405.6578739309,TWSE
2009-11-30,23449.2820012795,TWSE
2009-12-31,21.6747755937792,TWSE
2010-03-31,27357.6122868198,TWSE
2010-04-30,26828.7878615292,TWSE
2010-05-31,23420.5031463223,TWSE
2010-06-30,24352.7836510471,TWSE
2010-08-31,25735.2781925438,TWSE
2010-09-30,30772.260621612,TWSE
2010-11-30,29473.8424596901,TWSE
2010-12-31,23.1320148553556,TWSE
2011-01-31,49415.9715922787,TWSE
2011-02-28,43887.0340217597,TWSE
2011-03-31,29437.9057296537,TWSE
2011-05-31,28641.7696598702,TWSE
2011-06-30,31072.8382787365,TWSE
2011-08-31,25072.126916074,TWSE
2011-09-30,21780.4375337933,TWSE
2011-10-31,22537.8313940234,TWSE
2011-11-30,20793.394045439,TWSE
2012-01-31,22009.3310565211,TWSE
2012-02-29,23191.3617842627,TWSE
2012-04-30,32786.3012615923,TWSE
2012-05-31,17395.0917561807,TWSE
2012-07-31,17351.7161118428,TWSE
2012-08-31,17580.5193595807,TWSE
2012-10-31,18750.4164817358,TWSE
2012-11-30,18413.7455917564,TWSE
2012-12-31,10.1737669654262,TWSE
2013-01-31,18670.3312113659,TWSE
2013-02-28,27884.8104581458,TWSE
2013-04-30,27768.0964520621,TWSE
2013-05-31,16507.8378193297,TWSE
2013-07-31,17667.6817085161,TWSE
2013-09-30,17961.2785039446,TWSE
2013-10-31,16539.8857381946,TWSE
2013-12-31,22.6462834821373,TWSE
2014-02-28,23870.6619892377,TWSE
2014-03-31,15056.5302996826,TWSE
2014-04-30,15126.1145057289,TWSE
2014-06-30,14325.8112819262,TWSE
2014-07-31,14865.8946530136,TWSE
2014-09-30,15593.8881480425,TWSE
2014-10-31,14741.8047171641,TWSE
2014-12-31,25.7662528216984,TWSE
2015-03-31,15759.0138286867,TWSE
2015-04-30,16635.1370966308,TWSE
2015-06-30,19072.0988961609,TWSE
2015-07-31,18289.2107881773,TWSE
2015-08-31,18136.0283384722,TWSE
2015-09-30,18031.9035253728,TWSE
2015-11-30,17527.4567347952,TWSE
2015-12-31,25.2823042505311,TWSE
2016-02-29,24997.6514041591,TWSE
2016-03-31,16587.8678338006,TWSE
2016-05-31,16224.223136366,TWSE
2016-06-30,15653.2441561355,TWSE
2016-08-31,14751.4841345628,TWSE
2016-09-30,14975.0694990953,TWSE
2016-10-31,14067.6801017919,TWSE
2016-11-30,14066.6274403725,TWSE
2017-01-31,71765.8905775076,TWSE
2017-02-28,21432.3913010657,TWSE
2017-03-31,14150.2017353712,TWSE
2017-05-31,16026.6679071929,TWSE
2017-06-30,15841.2917852264,TWSE
2017-07-31,15926.6584850887,TWSE
2017-08-31,15671.2411543797,TWSE
2017-09-30,48.3008992805161,TWSE
2017-10-31,15810.2919848542,TWSE
2017-11-30,16028.8522272798,TWSE
2018-01-31,17158.4290579518,TWSE
2018-02-28,23718.2179529914,TWSE
2018-03-31,47.2249466192694,TWSE
2018-04-30,27330.0234502439,TWSE
2018-05-31,15983.119201133,TWSE
2018-07-31,15318.3318247163,TWSE
2018-08-31,15366.2710815589,TWSE
2018-10-31,13460.1000155275,TWSE
2018-11-30,14035.8763925129,TWSE
2018-12-31,23.1285714285569,TWSE
2004-03-31,7343.53988004136,HK
2004-04-30,7251.51337927462,HK
2004-05-31,8263.95995983511,HK
2004-06-30,8957.57033917531,HK
2004-08-31,8774.42085699586,HK
2004-09-30,10794.452801236,HK
2004-11-30,10995.6282876289,HK
2004-12-31,22.4456237037031,HK
2005-01-31,12172.6073230767,HK
2005-02-28,39302.9979551121,HK
2005-03-31,16316.9873799794,HK
2005-05-31,16936.7410154166,HK
2005-06-30,18045.2097505112,HK
2005-08-31,15761.8106265304,HK
2005-09-30,18768.6436102566,HK
2005-10-31,17612.945454265,HK
2005-11-30,17580.2577027578,HK
2006-01-31,56959.2426229508,HK
2006-02-28,22474.4586216564,HK
2006-03-31,13186.5114859882,HK
2006-05-31,4.28170297029703,HK
2006-06-30,12027.5052035012,HK
2006-07-31,11642.8142618208,HK
2006-08-31,12918.8404271638,HK
2006-10-31,14191.7104006995,HK
2006-11-30,14490.4556805552,HK
2007-01-31,14984.4776726394,HK
2007-02-28,28021.7206764044,HK
2007-04-30,20303.3020332182,HK
2007-05-31,28408.7528332172,HK
2007-07-31,39811.9873287772,HK
2007-08-31,37804.8015661668,HK
2007-10-31,57817.5699521199,HK
2007-11-30,43531.2795383574,HK
2007-12-31,31.8088408408412,HK
2008-01-31,26345.9661076511,HK
2008-02-29,31378.1645105356,HK
2008-03-31,32644.5103063306,HK
2008-04-30,32158.773884589,HK
2008-06-30,28776.5827108517,HK
2008-07-31,26949.4237313634,HK
2008-09-30,32290.226433982,HK
2008-10-31,13369.3602541916,HK
2008-12-31,11.0047912087914,HK
2009-03-31,14361.4196908243,HK
2009-04-30,18870.7954591372,HK
2009-06-30,32063.864525018,HK
2009-07-31,32735.3614445171,HK
2009-08-31,30607.6390556293,HK
2009-09-30,29405.6578739325,HK
2009-11-30,23449.2820012979,HK
2009-12-31,21.6747755937753,HK
2010-03-31,27357.6122868226,HK
2010-04-30,26828.7878615377,HK
2010-05-31,23420.5031463408,HK
2010-06-30,24352.7836510576,HK
2010-08-31,25735.2781925284,HK
2010-09-30,30772.2606216221,HK
2010-11-30,29473.8424597124,HK
2010-12-31,23.1320148553553,HK
2011-01-31,49415.9715922791,HK
2011-02-28,43887.0340217594,HK
2011-03-31,29437.9057296627,HK
2011-05-31,28641.7696598647,HK
2011-06-30,31072.8382787089,HK
2011-08-31,25072.1269160551,HK
2011-09-30,21780.4375337829,HK
2011-10-31,22537.8313939952,HK
2011-11-30,20793.3940454266,HK
2012-01-31,22009.3310565001,HK
2012-02-29,23191.3617842418,HK
2012-04-30,32786.3012615996,HK
2012-05-31,17395.0917561854,HK
2012-07-31,17351.7161118463,HK
2012-08-31,17580.5193595903,HK
2012-10-31,18750.4164817044,HK
2012-11-30,18413.7455917511,HK
2012-12-31,10.173766965429,HK
2013-01-31,18670.3312113769,HK
2013-02-28,27884.8104581458,HK
2013-04-30,27768.0964520546,HK
2013-05-31,16507.8378193274,HK
2013-07-31,17667.681708508,HK
2013-09-30,17961.278503923,HK
2013-10-31,16539.8857382102,HK
2013-12-31,22.6462834821436,HK
2014-02-28,23870.6619892378,HK
2014-03-31,15056.5302996993,HK
2014-04-30,15126.1145057541,HK
2014-06-30,14325.811281928,HK
2014-07-31,14865.8946529877,HK
2014-09-30,15593.888148036,HK
2014-10-31,14741.8047171659,HK
2014-12-31,25.7662528216687,HK
2015-03-31,15759.0138286762,HK
2015-04-30,16635.1370966189,HK
2015-06-30,19072.0988961525,HK
2015-07-31,18289.2107881564,HK
2015-08-31,18136.0283384516,HK
2015-09-30,18031.9035253821,HK
2015-11-30,17527.4567348164,HK
2015-12-31,25.2823042505596,HK
2016-02-29,24997.6514041594,HK
2016-03-31,16587.8678338348,HK
2016-05-31,16224.2231363633,HK
2016-06-30,15653.244156138,HK
2016-08-31,14751.484134558,HK
2016-09-30,14975.069499106,HK
2016-10-31,14067.6801017751,HK
2016-11-30,14066.6274403768,HK
2017-01-31,71765.8905775076,HK
2017-02-28,21432.3913010655,HK
2017-03-31,14150.2017353805,HK
2017-05-31,16026.6679071805,HK
2017-06-30,15841.2917852104,HK
2017-07-31,15926.6584850795,HK
2017-08-31,15671.2411543858,HK
2017-09-30,48.300899280575,HK
2017-10-31,15810.29198484,HK
2017-11-30,16028.8522272731,HK
2018-01-31,17158.4290579375,HK
2018-02-28,23718.2179529914,HK
2018-03-31,47.2249466192178,HK
2018-04-30,27330.0234502416,HK
2018-05-31,15983.1192011555,HK
2018-07-31,15318.3318247127,HK
2018-08-31,15366.271081562,HK
2018-10-31,13460.1000155258,HK
2018-11-30,14035.8763925287,HK
2018-12-31,23.1285714285715,HK
2004-03-31,7343.53988004074,KOSPI2
2004-04-30,7251.51337927489,KOSPI2
2004-05-31,8263.95995983657,KOSPI2
2004-06-30,8957.57033917502,KOSPI2
2004-08-31,8774.42085699578,KOSPI2
2004-09-30,10794.4528012342,KOSPI2
2004-11-30,10995.6282876301,KOSPI2
2004-12-31,22.4456237037034,KOSPI2
2005-01-31,12172.6073230776,KOSPI2
2005-02-28,39302.9979551138,KOSPI2
2005-03-31,16316.98737998,KOSPI2
2005-05-31,16936.7410154134,KOSPI2
2005-06-30,18045.2097505124,KOSPI2
2005-08-31,15761.8106265316,KOSPI2
2005-09-30,18768.6436102573,KOSPI2
2005-10-31,17612.9454542676,KOSPI2
2005-11-30,17580.2577027613,KOSPI2
2006-01-31,56959.2426229508,KOSPI2
2006-02-28,22474.458621655,KOSPI2
2006-03-31,13186.5114859901,KOSPI2
2006-05-31,4.28170297029687,KOSPI2
2006-06-30,12027.5052034992,KOSPI2
2006-07-31,11642.8142618211,KOSPI2
2006-08-31,12918.8404271644,KOSPI2
2006-10-31,14191.7104006986,KOSPI2
2006-11-30,14490.4556805576,KOSPI2
2007-01-31,14984.4776726428,KOSPI2
2007-02-28,28021.7206764056,KOSPI2
2007-04-30,20303.3020332187,KOSPI2
2007-05-31,28408.7528332201,KOSPI2
2007-07-31,39811.9873287742,KOSPI2
2007-08-31,37804.8015661678,KOSPI2
2007-10-31,57817.5699521208,KOSPI2
2007-11-30,43531.2795383544,KOSPI2
2007-12-31,31.8088408408351,KOSPI2
2008-01-31,26345.9661076471,KOSPI2
2008-02-29,31378.164510536,KOSPI2
2008-03-31,32644.5103063308,KOSPI2
2008-04-30,32158.7738845898,KOSPI2
2008-06-30,28776.582710848,KOSPI2
2008-07-31,26949.4237313637,KOSPI2
2008-09-30,32290.2264339795,KOSPI2
2008-10-31,13369.3602541921,KOSPI2
2008-12-31,11.00479120879,KOSPI2
2009-03-31,14361.419690824,KOSPI2
2009-04-30,18870.7954591351,KOSPI2
2009-06-30,32063.8645250133,KOSPI2
2009-07-31,32735.3614445183,KOSPI2
2009-08-31,30607.6390556265,KOSPI2
2009-09-30,29405.6578739302,KOSPI2
2009-11-30,23449.2820013009,KOSPI2
2009-12-31,21.6747755937779,KOSPI2
2010-03-31,27357.6122868197,KOSPI2
2010-04-30,26828.7878615391,KOSPI2
2010-05-31,23420.503146344,KOSPI2
2010-06-30,24352.7836510596,KOSPI2
2010-08-31,25735.2781925283,KOSPI2
2010-09-30,30772.2606216284,KOSPI2
2010-11-30,29473.8424597132,KOSPI2
2010-12-31,23.1320148553556,KOSPI2
2011-01-31,49415.9715922775,KOSPI2
2011-02-28,43887.0340217545,KOSPI2
2011-03-31,29437.9057296628,KOSPI2
2011-05-31,28641.7696598594,KOSPI2
2011-06-30,31072.8382787098,KOSPI2
2011-08-31,25072.1269160544,KOSPI2
2011-09-30,21780.4375337851,KOSPI2
2011-10-31,22537.8313939937,KOSPI2
2011-11-30,20793.3940454277,KOSPI2
2012-01-31,22009.331056502,KOSPI2
2012-02-29,23191.3617842422,KOSPI2
2012-04-30,32786.3012615991,KOSPI2
2012-05-31,17395.091756191,KOSPI2
2012-07-31,17351.7161118433,KOSPI2
2012-08-31,17580.5193595909,KOSPI2
2012-10-31,18750.4164817014,KOSPI2
2012-11-30,18413.7455917523,KOSPI2
2012-12-31,10.1737669654291,KOSPI2
2013-01-31,18670.3312113758,KOSPI2
2013-02-28,27884.8104581469,KOSPI2
2013-04-30,27768.0964520561,KOSPI2
2013-05-31,16507.8378193284,KOSPI2
2013-07-31,17667.6817085119,KOSPI2
2013-09-30,17961.2785039218,KOSPI2
2013-10-31,16539.885738211,KOSPI2
2013-12-31,22.6462834821425,KOSPI2
2014-02-28,23870.661989241,KOSPI2
2014-03-31,15056.530299701,KOSPI2
2014-04-30,15126.1145057551,KOSPI2
2014-06-30,14325.8112819277,KOSPI2
2014-07-31,14865.8946529865,KOSPI2
2014-09-30,15593.8881480378,KOSPI2
2014-10-31,14741.8047171656,KOSPI2
2014-12-31,25.7662528216695,KOSPI2
2015-03-31,15759.0138286743,KOSPI2
2015-04-30,16635.1370966164,KOSPI2
2015-06-30,19072.0988961472,KOSPI2
2015-07-31,18289.2107881582,KOSPI2
2015-08-31,18136.0283384539,KOSPI2
2015-09-30,18031.9035253813,KOSPI2
2015-11-30,17527.4567348188,KOSPI2
2015-12-31,25.2823042505581,KOSPI2
2016-02-29,24997.6514041584,KOSPI2
2016-03-31,16587.8678338378,KOSPI2
2016-05-31,16224.2231363617,KOSPI2
2016-06-30,15653.24415614,KOSPI2
2016-08-31,14751.4841345591,KOSPI2
2016-09-30,14975.0694991056,KOSPI2
2016-10-31,14067.6801017747,KOSPI2
2016-11-30,14066.6274403814,KOSPI2
2017-01-31,71765.8905775076,KOSPI2
2017-02-28,21432.3913010679,KOSPI2
2017-03-31,14150.2017353814,KOSPI2
2017-05-31,16026.6679071794,KOSPI2
2017-06-30,15841.2917852116,KOSPI2
2017-07-31,15926.6584850805,KOSPI2
2017-08-31,15671.2411543845,KOSPI2
2017-09-30,48.300899280576,KOSPI2
2017-10-31,15810.2919848397,KOSPI2
2017-11-30,16028.8522272716,KOSPI2
2018-01-31,17158.4290579363,KOSPI2
2018-02-28,23718.2179529904,KOSPI2
2018-03-31,47.2249466192126,KOSPI2
2018-04-30,27330.0234502418,KOSPI2
2018-05-31,15983.1192011577,KOSPI2
2018-07-31,15318.3318247119,KOSPI2
2018-08-31,15366.2710815637,KOSPI2
2018-10-31,13460.1000155269,KOSPI2
2018-11-30,14035.876392529,KOSPI2
2018-12-31,23.1285714285718,KOSPI2
